id,date,text
12,2023-06-10,для замеров способности модели понимать языки используется стандартный mmlu бенчмарк при обучении на датасете flan v2 здоровенная смесь из множества разнообразных задач на инструкции конечная модель выдает наилучшее качество вероятно изза количества данных и их структуры
13,2023-06-10,потом авторы проводят замеры на vicuna benchmark наборе инструкций против chatgpt используя в качестве арбитра gpt4 в этом случае небольшой oasst1 оказывается наилучшим для instruction finetuning самая большая модель практически сравнивается по качеству с chatgpt
14,2023-06-10,однако делается примечание что разброс довольно существеннен от запуска к запуски и ранжирование у gpt4 и людей не всегда совпадает хоть корреляция и существенна далее качество работы оценивается на запросах из vicuna и openassistant с агреграцией оценок через elo score методики придуманной для шамхатных турниров уже непосредственно кожаными мешками и версии guanaco33b65b опережают конкуретные opensource модели и chatgpt
15,2023-06-10,таким образом с одной стороны авторы получают довольно качественного чатбота и заодно делают вывод про то что в разные датасеты заточены под разные свойства модели скажем flanv2 лучший для прокачки модели под понимание языка не столь хорош для создания чатбота и наоборот для openassistant и самое приятное для обучения самой большой версии guanaco не требуется значительных ресурсов всего день на одной rtx a6000 хоть и много больше бесплатного колаба есть модели на huggingface и несколько нотбуков на странице проекта примечателен с файнтьюном gptneox20b на колабовской t4 c 16gib которая такто весит 40 гигов или 20 в 8битной квантизации введеный в работе формат квантизации имплементирован в библиотеке и некоторые модели не только лишь все можно подгружать в данном формате
16,2023-06-10,ах да маленький нюанс формат используется для хранения весов а в момент вычислений веса материализуется в обычный тип с плавающей точкой fp16 bf16 потому ускорения пока нет и даже некоторые накладные расходы на квантизацию и деквантизацию но в будущем вероятно с развитием карточек и разработкой ядер возможно и добавится еще и ускорение в общем весьма сильный и практически полезный результат
17,2023-06-10,
18,2023-06-12,tldr в данной работе авторы предложили простой и дешевый эффективный по памяти способ дообучения квантованной модели для восстановления качества и под instruction finetuning
19,2023-06-17,tldr в данной статье авторы исследуют влияние факторов и гиперпараметров обучения на изменение качества квантованной модели по сравнению с ее исходной версией в числах с плавающей точкой
20,2023-06-21,данный пост будет в необычном формате обзор на обзор он же обзор 2го порядка
21,2023-06-24,история про диффузионку генерирующую картинки на уровне stable diffusion менее чем за 2с на мобилке
22,2023-07-02,еще одна статья про квантование llm на основе фишерского приближения гессиана и разбиения весов на выбросы и невыбросы
23,2023-07-05,есть просто причем даже не есть дядюшка сэм есть и на днях вышел еше быстрый сэм напомню что в оригинальной работе segment anything model была предложена методология сегментации обьектов из широкого набора категорий на основе различных типов запросов 1 пользователь делает тык и нейросеть выделяет самый примечательный обьект содержащий данную точку 2 пользователь выделяет прямоугольник с предполагаемым обьектом и нейросеть ищет маску уточняет контуры 3 t пользователь пишет текстом название желаемого обьекта и он выделяется маской помимо прочего авторы выпустили самый большой датасет по сегментации собранный частично вручную а частично размеченный автоматически sa1b работа вызвала большой ажиотаж появилось много однако у всей этой красоты есть один большой недостаток основная моделька используемая в работе увесистый vithuge с 630m который довольно нелегко инферить даже на карточках что уж говорить про мобильный инференс и авторы задались вопросом можно ли достичь сопоставимого качества используя значительно меньше вычислений и предложенное решение работает в 50 раз быстрее при сопоставимом качестве на rtx3090 суть идеи в том чтобы использовать легковесную модель и не утруждая себя долгими раздумьями авторы взяли известное рабочее решение c для сегментации модель обучалась на малой части данных sa1b всего 2 миллионах картинках из миллиарда обладая значительно большими inductive biases и специализированными модулями yolo сходится значительно быстрее и требует куда меньше данных энкодеры промтов те же что и в исходном sam модельку валидируют на разных бенчмарках по сегментации в zeroshot fastsam выделяет границы примерно так же хорошо как и sam на coco и lvisv1 примерно на одном уровне с sam не сильно уступая finetuned vitdeth и еще в ряде приложений вышло неплохо salient object detection выделении самого примечательного обьекта и anomaly segmentation метод все же слегка уступает sam основные проблемы возникают с маленькими обьектами утверждается что box confidence score предсказываемый yolo не всегда соотвествует качеству маски маски для маленьких обьектов выходят чрезмерно квадратными
24,2023-07-05,результаты
25,2023-07-05,сегментация с текстовыми промптами
26,2023-07-05,anomaly detection какуюто бяку нашли на таблетке
27,2023-07-05,схематичный рисунок фреймворка feature pyramid с box и mask head nms модули
28,2023-07-05,работает реально быстро
29,2023-07-05,failure cases
30,2023-07-09,на днях выкатили новую диффузионку как можно догадаться из названия моделька заметно набрала в мышечной массе по сравнению с исходной моделью расшумляющий unet вырос в 3 раза в размере стал длиньше и толще остальные изменения носят скорее инкрементальный характер но тем не менее любопытны выше было сказано сеть увеличилась в размерах при этом убрали selfattention на максимальном разрешении изза большого количества вычислений и всего 2 стадии уменьшения разрешения в 2 раза вместо 3 в исходной sd те в середине unet пространственное разрешение в 4 раза меньше чем на входе и выходе в середину напихали аж 10 блоков attention картинки в датасетах бывают разных размеров изза двухстадийной структуры диффузии в латентном пространстве и sr каскада stable diffusion имеет жесткие ограничения на размер данных sd v14 обучалась на картинках где меньшая из сторон имеет размер 512 а существенная доля данных 39 имеет размер менее 256 минимальный принимаемый sdxl можно было бы интерполировать до минимального приемлемого размера но полученные картинки будут размытыми и сеть будет считать что так и надо потому авторы предложили при обучении и генерации обуславливать на размер пару значений высоташирина если надо мыльную картинку получай мыльную надо резкую получай резкую модификация улучшает метрики fid и is stable diffusion при генерации по промпту нередко выдает кропы картинок которые смотрятся неэстетично по всей видимости причина в том что подобная аугментация использовалась на обучении модели решение простое снова condition на положение кропа нормализованные от 01 координаты верхнего левого угла в итоге при condition на 00 выдаются более центрированные картинки захватывающие объект целиком оба типа conditioning добавляют фурьеэмбеддинги в процесс генерации на практике интересна генерация не только квадратных картинок но и прямоугольных потому сеть дообучают на генерацию с разными соотношениями ширины и высоты чтобы обучение было эффективным в один батч собирают картинки с похожим aspect ratio bucketing потюнили параметры обучения и улучшили реконструкцию из латентного пространства после базового unet для диффузии в латентном пространстве добавили еще один unet для улучшения полученных представлений подобная модификация как утверждается помогает генерировать более мелкие детали stable diffusion xl по мнению большинства пользователей всегда или почти всегда лучше стандартной stable diffusion причем версия refinement стадией выглядит более предпочтительной чем без нее что интересно метрики fid и clip score на coco стандартном бенчмарке для оценки качества генерации по промптам даже просели по сравнению с sd v15 v21 но на них как известно следует ориентировать с некоторой опаской sdxl сравнили с midjourney v51 на partiprompts p2 и на ряде категорий пользователи чаще отдавали предпочтение sdxl что выглядит солидно учитывая что midjourney считается флагманом по генерации есть однако подозрения у знающих людей что саму sdxl файнтьюнили на генерациям от midjourney сама модель настолько же опенсорсная как и llama веса выдаются только с одобрения авторов ждем пираток короче
31,2023-07-09,пользовательские предпочтения
32,2023-07-09,архитектура новый модуль предложенный refiner
33,2023-07-09,распределение обучающей выборки по ширине и высоте
34,2023-07-09,эффект от condition на размер
35,2023-07-09,эффект от сondition на crop
36,2023-07-09,refinement позволяет лучше прорисовывать мелкие детали
37,2023-07-09,stable diffusionxl против midjourney v51
38,2023-07-09,fidclip кривые для stable diffusion xl хуже чем для sd v15v21 напомню что согласно этим метрикам генерация тем лучше чем ниже и левее находится кривая формы эмблемы компании nike
39,2023-07-19,на днях tri dao это имя и фамилия а не три выпустил сиквел знаменитого блокбастера flash attention 2 обновленная версия flash attention примерно в быстрее своей предшественницы и местами до раз бывает быстрее наивной реализации pytorch потребность в работе с длинным контекстом возникает в ряде приложений задачах связанных с написанием или пониманием книг обработкой видео аудио наивная реализация attention требует квадратичного по длине последовательности объема памяти и вычислений изза чего на практике редко используют контекст более 1k токенов в свое время много работ и усилий исследователей было потрачено на разработку альтернатив алгоритму внимания в его исходной формулировке но нельзя сказать чтобы один из множества подходов оказался конкурентоспособен на широком наборе задач в работе по flash attention добились значительного ускорения attention и снижения пикового расхода памяти за счет оптимизации входящих в него операции при этом сам алгоритм математически эквивалентен up to numerical precision исходному attention напомню что в основе оригинальной работы по flash attention лежат следующие наблюдения 1 большую часть времени занимают не вычисления а работа с памятью 2 для подсчета attention не обязательно материализовывать всю матрицу attention квадратичную по длине последовательности целиком можно считать ее поблочно а затем агрегировать результат flash attention уменьшает количество операций по перекачке данных с памяти в кэши gpu за счет выполнения нескольких математических операций сразу в пределах одного блока kernel fusion при обратном проходе и подсчете градиентов по параметрам матрица attention пересчитывается снова поблочно flash attention делает больше вычислений чем исходный алгоритм но так как вычисления в разы быстрее перекачки памяти тудасюда получается значительный выигрыш в производительности однако даже оптимизированный flash attention сильно недоиспользует возможности современных ускорителей вычислений достигая всеголишь от теоретической максимальной производительности в то время как матричные умножения могут достигать
40,2023-07-19,в работе flash attention 2 по существу еще слегка подкрутили процедуру вычисления и повысили степень параллелизма самой операций автор заметил что операции не являющиеся матричным умножением выполняются куда медленнее в 16 раз чем матричные умножения потому переписал алгоритм так чтобы уменьшить их количество казалось бы их количество невелико но тем не менее они занимают существенную часть общего времени работы кроме того при авторегрессионной генерации нужна лишь верхнетреугольная часть матрицы attention и вместо того чтобы считать ее а затем занулять ее просто не считают вот так вот благодаря перечисленным выше нововведениям удается добиться ускорения 23x flash attention1 параллелизует вычисления по размеру батча и числу голов в трансформере но если батч не слишком большой или трансформер не очень огромный то многие streaming multiprocessors sm простаивают и чтобы не оставлять их без дела предлагается паралеллизовывать вычисления и по длине последовательности на прямом проходе ряды матрицы attention можно считать независимо а на обратном проходе колонки и каждый поток обрабатывает свой токен кроме того для уменьшения коммуникации между варпами группами потоков оказывается целесообразным держать куски матриц ключей key и значений values общими для групп поток а query свою на варп в flash attention1 было наоборот уменьшение количество операций чтениязаписи приводит к дополнительному ускорению flashattention2 сравнивается с flashattention из оригинального репозитория реализации на triton и xformers для замеров рассматривают последовательности длиной от 512 до 16k токенов и слой attention со скрытой размерностью 2048 64 или 128 голов flashattention2 в 1315x быстрее на прямом проходе и до 2x быстрее на обратном проходе по сравнению с flashattention 1 особенно велик выигрыш при использовании causal mask flashattention 2 использует до 72 теоретической производительности a100 на h100 разница еще заметнее данная история поучительна тем что одна и та же математическая операция в зависимости от реализации может выполняться принципиально разное время замечательный пример того что насколько учет особенностей железа время работы различных компонент сильных и слабых сторон ускорителя вычислений важен при проектировании алгоритмов
41,2023-07-19,алгоритм прямого прохода
42,2023-07-19,алгоритм обратного прохода
43,2023-07-19,параллелизм по длине последовательности на прямом и обратном проходе
44,2023-07-19,распределение матриц q k v по варпам
45,2023-07-19,сравнение скорости forward pass для различных реализаций attention
46,2023-07-19,сравнение скорости forwardbackward pass для различных реализаций attention
47,2023-07-19,attention forwardbackward на h100
48,2023-07-21,обучение всех параметров больших языков моделей весьма прожорливо по памяти изза необходимости хранить кроме самой тяжеловесной модели еще и состояния оптимизатора 8 байт на параметр один из самых ходовых методов заключающийся в обучении низкоранговых добавок к весам позволяет сильно сэкономить по памяти демонстрируя при этом хорошее качество при обучении предобученной модели на downstream задачах но низкоранговые представления имеют место при дообучении в то время как для эффективного предобучения на разнообразных данных желательно использовать все имеющуюся в распоряжении емкость сети то есть обучение должно быть высокоранговым в данной статье авторы предлагают метод последовательного обучения низкоранговых добавок к весам линейных слоев нейронной сети с последующим их слиянием с основными весами и как утверждается подобная процедура для достаточно больших сетей самая большая обученная сеть имеет 350m параметров сущий пустяк по современным меркам работает ненамного хуже стандартной полноранговой процедуры обучения ранг суммы двух и более матриц ограничен сверху суммой рангов матриц если низкоранговые матрицы в достаточной мере взаимно независимы то их сумма может иметь значительно больший ранг чем каждое слагаемое по отдельности последовательно обучая низкоранговые добавки возможно в итоге добиться высокорангового изменения весов матрицы в этом и суть метода однако чтобы метод заработал авторам пришлось учесть ряд нюансов и применить пару трюков вопервых используемый при обучении трансформеров хранит скользящие статистики градиентов и при переходе к обучению новой низкоранговой добавки если не предпринимать никаких действий оптимизация будет проводиться в том же подпространстве что и у предыдущей lora добавки нивелируя всякий смысл в итеративной процедуре для предотвращения такого сценария авторы зануляют 99 состояний оптимизатора с меньшей абсолютной величиной почему не все почему не любую другую долю при инициализации новой добавки кроме того learning rate в момент начала обучения новой добавки зануляется и потом быстро разогревается до примерно того же значения с которым закончила обучение прошлая добавка используется cosine annealing learning rate без короткой warmup фазы обучение расходится предложенная cтратегия именуется
49,2023-07-21,авторы обучают семейство декодерных моделей моделей от 60 до 350m типичный размер языковых моделей в 1819 году на данных из архитектура модели повторяет процедура обучения состоит из первоначальной фазы полнорангового обучения те обучения всех параметров модели в течение 5k шагов и 3 циклов обучения низкоранговых добавок на протяжении тех же 5k шагов с warmup фазой в 100 шагов при переходе к новой lora пиковый расход памяти такой же как и в стандартной процедуре обучения в качестве бейзлайнов используются стандартное обучение обучение меньшей модели с таким же количеством обучаемых параметров как с lora control lora метод ожидаемо бьет lora обладая большей выразительностью и меньшую сеть с тем же числом обучаемых параметров за исключением самой маленькой модели при этом несколько уступая стандартной процедуре обучения авторы анализируют спектральное разложение обученных матриц и у relora оно больше напоминает изменение весов при обучении всех параметров по сравнению с lora хоть все еще заметно отличается показывает что все компоненты метода важны для приемлемого результата первичная процедура стандартного обучения зануление состояний отпимизатора и warmup довольно интересный и разумный подход применимость его в качестве претрейна по моему мнению ограничена изза необходимости фазы высорангового обучения в начале изза чего большие llmки какоето время придется обучать на множестве хостов основной выигрыш может быть при файнтьюнинге на достаточно больших и разнообразных задачах где выразительности низкоранговых добавок недостаточно
50,2023-07-21,кривые обучения стандартного обучения синяя relora оранжевая и меньшей модели control
51,2023-07-21,learning rate schedule из статьи на графике 4 цикла relora вместо 3х
52,2023-07-21,ключевое тождество из статьи
53,2023-07-21,алгоритм
54,2023-07-21,сингулярное разложение разницы весов на 20k шагов конец обучения и 5 k шагов конец warmup фазы
55,2023-07-21,relora против бейзлайнов
56,2023-07-24,не прошло и года и даже половины года как запрещенная в россии экстремистская организация meta выпустила новую версию всем полюбившейся llmки llama2 первая версия модели стала настоящим хитом среди исследователей практиков да и простых обывателей будучи наиболее качественной языковой моделью среди находящихся в публичном доступе стала основой для множества чатботов получила множество интеграций для запуска на чем угодно начиная от продвинутых gpu и заканчивая в плане архитектуры и процедуры предобучения llama2 не претерпела значительных изменений вместо стандартного attention блока где количество голов в query key value проекциях одинаково и каждому query соотвествует отдельный key и value используется c 8 проекциями вместо те каждая key value активация спаривается с головами query делать полный multi query с 1 проекций на все головы не стали по двум соображениям 1 на инференсе они параллелизует вычисления между 8 gpu и пришлось бы все равно копировать key value между всеми устройствами 2 multi query просаживается по качеству по сравнению с исходным attention а grouped query имеет примерно то же качество данное изменение полезно при авторегрессионой генерации с использованием key value кэшей так как приводит к заметной экономии в памяти при той же длине последовательности экономия в рвз длину контекста увеличили до токенов позиционные энкодинги могут работать и с данные отфильтровали более тщательно увеличили в размере на и обучили все модели на токенов вместо итоговая модель на common sense reasoning question answering world knowledge и тд оказывается лучше прошлой версии и всех других моделей в открытом доступе но уступает флагманским закрытым gpt4 palm2l куда более занимательна ей же и уделено основное внимание процедура instructionfinetuning и получения чатбота из языковой модели instructionfinetuning процедура состоит из 2 стадий 1 sft supervised finetuning 2 rlhf reinforcement learning авторы собирают свой собственный датасет из инструкций в котором акцент был сделан не на количество инструкций а на их качество и разнообразие актуальные работы утверждают что для instruction finetuning данных много и не требуется в полученном датасете 27540 инструкций на первом стадии sft модель обучают на causal lm как на этапе преобучения на датасете инструкций промты и ответы контатенируют с одну последовательность разделяя специальным токеном данные для обучения reward модели собирали с помощью человекоподобных разметчиков каждый респодент выбирает между двумя вариантами с градацией разницы significantly better better slightly better or negligibly betterunsure для максимизации разнообразия варианты ответов генерируются случайно выбранными моделями из семейства llama2 с разной температурой
